dst_port,http_status_error,conn_state_enc,log_dst_bytes,src_port,duration,log_files_total_bytes,dst_bytes,bytes_per_pkt_dst,log_src_ip_bytes,src_ip_bytes,is_file_transfered,files_total_bytes,byte_ratio,log_dst_ip_bytes,attack_category,label,label_bin
5730,0,1,0.0,57927,0.000105,0.0,0.0,0.0,3.8066624897703196,44,0,0.0,0.0,3.713572066704308,probe,4,1
357,0,6,0.0,57881,0.0,0.0,0.0,0.0,4.48863636973214,88,0,0.0,0.0,0.0,probe,4,1
80,1,10,6.532334292222349,56634,0.239243,6.131226489483141,686.0,68.6,6.829793737512425,924,1,459.0,0.17149758454085567,7.554334823725748,web,5,1
80,0,6,0.0,65172,124.832634,0.0,0.0,0.0,7.99598047476376,2968,0,0.0,0.0,0.0,dos,3,1
80,0,6,0.0,60935,36.098236,0.0,0.0,0.0,6.665683717782408,784,0,0.0,0.0,0.0,ddos,2,1
21,0,10,5.241747015059643,52960,10.455046,0.0,188.0,5.529411764705882,7.629975707027789,2058,0,0.0,0.3113553113541709,7.655864017616056,bruteforce,1,1
22,0,2,0.0,38148,0.014966,0.0,0.0,0.0,6.46302945692067,640,0,0.0,0.0,4.890349128221754,ddos,2,1
22,0,6,0.0,52562,292.578989,0.0,0.0,0.0,11.345512224909392,84584,0,0.0,0.9999999999999876,0.0,dos,3,1
80,0,7,0.0,29266,5.4e-05,0.0,0.0,0.0,3.713572066704308,40,0,0.0,0.0,3.8066624897703196,ddos,2,1
443,0,7,10.635590988206486,46850,131.693971,0.0,41588.0,13.086217747010698,15.413957692467816,4945346,0,0.0,0.9821607429106022,12.468548442239252,bruteforce,1,1
80,0,6,0.0,52688,53.287907,0.0,0.0,0.0,6.329720905522696,560,0,0.0,0.0,0.0,dos,3,1
80,0,5,0.0,26363,0.006289,0.0,0.0,0.0,4.394449154672439,80,0,0.0,0.0,4.394449154672439,ddos,2,1
22,0,10,7.639642287858013,14661,11.105718,0.0,2078.0,41.56,8.756682421266532,6352,0,0.0,0.5178654292342185,8.81358720447004,bruteforce,1,1
443,0,7,0.0,44746,16.588788,0.0,0.0,0.0,4.653960350157523,104,0,0.0,0.0,5.746203190540153,dos,3,1
5353,0,6,0.0,5353,0.202495,0.0,0.0,0.0,7.630461261783627,2059,0,0.0,0.9999999999994779,0.0,web,5,1
5351,0,6,0.0,50617,6e-06,0.0,0.0,0.0,4.948759890378168,140,0,0.0,0.9999999999642857,0.0,dos,3,1
53,0,10,4.59511985013459,57578,0.00237,0.0,98.0,98.0,4.442651256490317,84,0,0.0,0.36363636363400237,4.844187086458591,benign,0,0
80,1,10,6.077642243349034,6777,0.053969,5.616771097666572,435.0,36.25,6.698268054115413,810,1,274.0,0.18233082706732645,7.32052696227274,web,5,1
80,0,6,0.0,61581,124.833187,0.0,0.0,0.0,8.051022208190679,3136,0,0.0,0.0,0.0,dos,3,1
123,0,1,0.0,48377,5.3e-05,0.0,0.0,0.0,5.081404364984463,160,0,0.0,0.0,3.713572066704308,dos,3,1
443,0,10,8.266678443305896,47941,17.207437,0.0,3891.0,204.78947368421052,7.0630481633881725,1167,0,0.0,0.08790436005623818,8.452761331256848,bruteforce,1,1
80,0,10,14.164454696080808,5524,16.517246,8.885440911707585,1417569.0,1665.7685076380728,11.026548521606548,61484,1,7225.0,0.030767779161188273,14.189670740244024,benign,0,0
80,0,1,0.0,10753,0.000462,0.0,0.0,0.0,4.394449154672439,80,0,0.0,0.0,4.394449154672439,dos,3,1
21,0,10,4.343805421853684,10126,2.865112,0.0,76.0,5.428571428571429,6.680854678790215,796,0,0.0,0.25490196078181465,6.799055862058796,bruteforce,1,1
123,0,1,0.0,48377,0.000138,0.0,0.0,0.0,3.713572066704308,40,0,0.0,0.0,3.713572066704308,dos,3,1
80,1,10,6.532334292222349,52495,0.190022,6.131226489483141,686.0,57.166666666666664,6.812345094177479,908,1,459.0,0.16341463414614218,7.607381425639791,web,5,1
80,0,5,0.0,40123,0.000489,0.0,0.0,0.0,4.394449154672439,80,0,0.0,0.0,4.394449154672439,ddos,2,1
22,0,10,7.596392304064196,14654,17.990625,0.0,1990.0,32.096774193548384,8.757626411267408,6358,0,0.0,0.44053978071396105,8.922791623969637,bruteforce,1,1
123,0,1,0.0,48301,1e-06,0.0,0.0,0.0,3.713572066704308,40,0,0.0,0.0,4.394449154672439,dos,3,1
3330,0,1,0.0,12673,0.000173,0.0,0.0,0.0,4.110873864173311,60,0,0.0,0.0,3.713572066704308,probe,4,1
443,0,10,10.520023630724232,28814,8.455473,0.0,37049.0,356.24038461538464,9.209439966733019,9990,0,0.0,0.09326970141947888,11.275010856752338,benign,0,0
123,0,1,0.0,48301,8.9e-05,0.0,0.0,0.0,3.713572066704308,40,0,0.0,0.0,3.713572066704308,dos,3,1
53,0,10,4.553876891600541,53254,0.004688,0.0,94.0,94.0,4.394449154672439,80,0,0.0,0.3561643835592044,4.812184355372417,bruteforce,1,1
80,1,10,6.532334292222349,56420,0.200026,6.131226489483141,686.0,114.33333333333333,6.267200548541362,526,1,459.0,0.17149758454085567,6.914730892718563,web,5,1
29092,0,1,0.0,45666,0.000537,0.0,0.0,0.0,4.48863636973214,88,0,0.0,0.0,4.394449154672439,probe,4,1
22,0,2,0.0,52118,0.015089,0.0,0.0,0.0,5.771441123130016,320,0,0.0,0.0,5.176149732573829,ddos,2,1
1268,0,1,0.0,55411,8.3e-05,0.0,0.0,0.0,4.394449154672439,80,0,0.0,0.0,4.394449154672439,probe,4,1
80,1,10,6.532334292222349,57111,0.159399,6.131226489483141,686.0,68.6,6.821107472256465,916,1,459.0,0.16747572815513656,7.554334823725748,web,5,1
123,0,1,0.0,48301,0.000219,0.0,0.0,0.0,6.175867270105761,480,0,0.0,0.0,4.394449154672439,dos,3,1
8080,0,10,4.852030263919617,39422,0.000328,0.0,127.0,5.291666666666667,7.8674885686991285,2610,0,0.0,0.6954436450822652,7.4109518755836366,bruteforce,1,1
581,0,6,0.0,57881,1e-06,0.0,0.0,0.0,4.48863636973214,88,0,0.0,0.0,0.0,probe,4,1
53,0,10,4.969813299576001,56012,0.000111,0.0,143.0,143.0,4.867534450455582,129,0,0.0,0.41393442622781174,5.147494476813453,bruteforce,1,1
21,0,10,4.343805421853684,10370,3.255067,0.0,76.0,10.857142857142858,5.981414211254481,395,0,0.0,0.23232323232088561,6.1070228877422545,bruteforce,1,1
123,0,1,0.0,48388,0.000158,0.0,0.0,0.0,4.394449154672439,80,0,0.0,0.0,4.394449154672439,dos,3,1
80,1,10,6.532334292222349,52454,0.151834,6.131226489483141,686.0,57.166666666666664,6.846943139585379,940,1,459.0,0.16747572815513656,7.607381425639791,web,5,1
80,0,6,0.0,49903,53.151519,0.0,0.0,0.0,6.329720905522696,560,0,0.0,0.0,0.0,dos,3,1
